time; pid; rtt; vtt 
2024-06-11 13:11:02,088; 38804; 58150912.00; 4057649152.00
2024-06-11 13:11:02,099; 38804; 59772928.00; 4057649152.00
2024-06-11 13:11:02,106; 38804; 60043264.00; 4057649152.00
2024-06-11 13:11:02,111; 38804; 60583936.00; 4057649152.00
2024-06-11 13:11:02,115; 38804; 61124608.00; 4057649152.00
2024-06-11 13:11:02,138; 38804; 64299008.00; 4057649152.00
2024-06-11 13:11:02,149; 38804; 66191360.00; 4057649152.00
2024-06-11 13:11:02,157; 38804; 67272704.00; 4057649152.00
2024-06-11 13:11:02,166; 38804; 68354048.00; 4057649152.00
2024-06-11 13:11:02,172; 38804; 69165056.00; 4057649152.00
2024-06-11 13:11:02,176; 38804; 69976064.00; 4057649152.00
2024-06-11 13:11:02,181; 38804; 71598080.00; 4057649152.00
2024-06-11 13:11:02,185; 38804; 74842112.00; 4057649152.00
2024-06-11 13:11:02,204; 38804; 80392192.00; 4262133760.00
2024-06-11 13:11:02,216; 38804; 81473536.00; 4262133760.00
2024-06-11 13:11:02,221; 38804; 82825216.00; 4263358464.00
2024-06-11 13:11:02,237; 38804; 82776064.00; 4262133760.00
2024-06-11 13:11:02,255; 38804; 83632128.00; 4262133760.00
2024-06-11 13:11:02,259; 38804; 83632128.00; 4262133760.00
2024-06-11 13:11:02,263; 38804; 83902464.00; 4262133760.00
2024-06-11 13:11:02,267; 38804; 84627456.00; 4262133760.00
2024-06-11 13:11:02,271; 38804; 84627456.00; 4262133760.00
2024-06-11 13:11:02,275; 38804; 84627456.00; 4262133760.00
2024-06-11 13:11:02,279; 38804; 84627456.00; 4262133760.00
2024-06-11 13:11:02,282; 38804; 84627456.00; 4262133760.00
2024-06-11 13:11:02,286; 38804; 84627456.00; 4262133760.00
2024-06-11 13:11:02,290; 38804; 84627456.00; 4262133760.00
2024-06-11 13:11:02,296; 38804; 84013056.00; 4262133760.00
2024-06-11 13:11:02,303; 38804; 84267008.00; 4262133760.00
2024-06-11 13:11:02,308; 38804; 84267008.00; 4262133760.00
2024-06-11 13:11:02,318; 38804; 84529152.00; 4262133760.00
2024-06-11 13:11:02,323; 38804; 84606976.00; 4262133760.00
2024-06-11 13:11:02,338; 38804; 87822336.00; 4262133760.00
2024-06-11 13:11:02,346; 38804; 87822336.00; 4262133760.00
2024-06-11 13:11:02,361; 38804; 89337856.00; 4262133760.00
2024-06-11 13:11:02,368; 38804; 89497600.00; 4262133760.00
2024-06-11 13:11:02,375; 38804; 90038272.00; 4262133760.00
2024-06-11 13:11:02,383; 38804; 90124288.00; 4262133760.00
2024-06-11 13:11:02,387; 38804; 90157056.00; 4262133760.00
2024-06-11 13:11:02,392; 38804; 90157056.00; 4262133760.00
2024-06-11 13:11:02,398; 38804; 90157056.00; 4262133760.00
2024-06-11 13:11:02,403; 38804; 90157056.00; 4262133760.00
2024-06-11 13:11:02,417; 38804; 90509312.00; 4262133760.00
2024-06-11 13:11:02,426; 38804; 90509312.00; 4262133760.00
2024-06-11 13:11:02,435; 38804; 90619904.00; 4262133760.00
2024-06-11 13:11:02,441; 38804; 90619904.00; 4262133760.00
2024-06-11 13:11:02,446; 38804; 90898432.00; 4262133760.00
2024-06-11 13:11:02,451; 38804; 90898432.00; 4262133760.00
2024-06-11 13:11:02,455; 38804; 90968064.00; 4262133760.00
2024-06-11 13:11:02,459; 38804; 91045888.00; 4262133760.00
2024-06-11 13:11:02,463; 38804; 91045888.00; 4262133760.00
2024-06-11 13:11:02,467; 38804; 91242496.00; 4262133760.00
2024-06-11 13:11:02,471; 38804; 91262976.00; 4262133760.00
2024-06-11 13:11:02,481; 38804; 91566080.00; 4262133760.00
2024-06-11 13:11:02,490; 38804; 91799552.00; 4262133760.00
2024-06-11 13:11:02,496; 38804; 91799552.00; 4262133760.00
2024-06-11 13:11:02,504; 38804; 92028928.00; 4262133760.00
2024-06-11 13:11:02,512; 38804; 92160000.00; 4262133760.00
2024-06-11 13:11:02,519; 38804; 92409856.00; 4262133760.00
2024-06-11 13:11:02,525; 38804; 92528640.00; 4262133760.00
2024-06-11 13:11:02,530; 38804; 92626944.00; 4262133760.00
2024-06-11 13:11:02,536; 38804; 92741632.00; 4262133760.00
2024-06-11 13:11:02,540; 38804; 92741632.00; 4262133760.00
2024-06-11 13:11:02,549; 38804; 93065216.00; 4262133760.00
2024-06-11 13:11:02,553; 38804; 93065216.00; 4262133760.00
2024-06-11 13:11:02,558; 38804; 93138944.00; 4262133760.00
2024-06-11 13:11:02,564; 38804; 93265920.00; 4262133760.00
2024-06-11 13:11:02,568; 38804; 93380608.00; 4262133760.00
2024-06-11 13:11:02,573; 38804; 93380608.00; 4262133760.00
2024-06-11 13:11:02,577; 38804; 93487104.00; 4262133760.00
2024-06-11 13:11:02,581; 38804; 93876224.00; 4262133760.00
2024-06-11 13:11:02,585; 38804; 94023680.00; 4262133760.00
2024-06-11 13:11:02,588; 38804; 94101504.00; 4262133760.00
2024-06-11 13:11:02,597; 38804; 94203904.00; 4262133760.00
2024-06-11 13:11:02,604; 38804; 94330880.00; 4262133760.00
2024-06-11 13:11:02,610; 38804; 94601216.00; 4262133760.00
2024-06-11 13:11:02,615; 38804; 94601216.00; 4262133760.00
2024-06-11 13:11:02,620; 38804; 94830592.00; 4262133760.00
2024-06-11 13:11:02,624; 38804; 94855168.00; 4262133760.00
2024-06-11 13:11:02,628; 38804; 94855168.00; 4262133760.00
2024-06-11 13:11:02,632; 38804; 94855168.00; 4262133760.00
2024-06-11 13:11:02,636; 38804; 94973952.00; 4262133760.00
2024-06-11 13:11:02,639; 38804; 95092736.00; 4262158336.00
2024-06-11 13:11:02,643; 38804; 95301632.00; 4262195200.00
2024-06-11 13:11:02,647; 38804; 95383552.00; 4262195200.00
2024-06-11 13:11:02,650; 38804; 95383552.00; 4262195200.00
2024-06-11 13:11:02,654; 38804; 95383552.00; 4262195200.00
2024-06-11 13:11:02,658; 38804; 95383552.00; 4262195200.00
2024-06-11 13:11:02,662; 38804; 95571968.00; 4262195200.00
2024-06-11 13:11:02,666; 38804; 95571968.00; 4262195200.00
2024-06-11 13:11:02,670; 38804; 95571968.00; 4262195200.00
2024-06-11 13:11:02,674; 38804; 95694848.00; 4262195200.00
2024-06-11 13:11:02,678; 38804; 95879168.00; 4262195200.00
2024-06-11 13:11:02,682; 38804; 95879168.00; 4262195200.00
2024-06-11 13:11:02,685; 38804; 96133120.00; 4262195200.00
2024-06-11 13:11:02,689; 38804; 96133120.00; 4262195200.00
2024-06-11 13:11:02,693; 38804; 96133120.00; 4262195200.00
2024-06-11 13:11:02,697; 38804; 96133120.00; 4262195200.00
2024-06-11 13:11:02,700; 38804; 96133120.00; 4262195200.00
2024-06-11 13:11:02,704; 38804; 96133120.00; 4262195200.00
2024-06-11 13:11:02,709; 38804; 96407552.00; 4262195200.00
2024-06-11 13:11:02,713; 38804; 96407552.00; 4262195200.00
2024-06-11 13:11:02,717; 38804; 96407552.00; 4262195200.00
2024-06-11 13:11:02,721; 38804; 96407552.00; 4262195200.00
2024-06-11 13:11:02,724; 38804; 96407552.00; 4262195200.00
2024-06-11 13:11:02,728; 38804; 96608256.00; 4262195200.00
2024-06-11 13:11:02,732; 38804; 96608256.00; 4262195200.00
2024-06-11 13:11:02,737; 38804; 96608256.00; 4262195200.00
2024-06-11 13:11:02,740; 38804; 96608256.00; 4262195200.00
2024-06-11 13:11:02,748; 38804; 96677888.00; 4262195200.00
2024-06-11 13:11:02,752; 38804; 96677888.00; 4262195200.00
2024-06-11 13:11:02,757; 38804; 96677888.00; 4262195200.00
2024-06-11 13:11:02,769; 38804; 96870400.00; 4262195200.00
2024-06-11 13:11:02,773; 38804; 96976896.00; 4262195200.00
2024-06-11 13:11:02,777; 38804; 97243136.00; 4262195200.00
2024-06-11 13:11:02,781; 38804; 97243136.00; 4262195200.00
2024-06-11 13:11:02,785; 38804; 97452032.00; 4262195200.00
2024-06-11 13:11:02,794; 38804; 97767424.00; 4262195200.00
2024-06-11 13:11:02,798; 38804; 97767424.00; 4262195200.00
2024-06-11 13:11:02,802; 38804; 97959936.00; 4262195200.00
2024-06-11 13:11:02,806; 38804; 97959936.00; 4262195200.00
2024-06-11 13:11:02,810; 38804; 98205696.00; 4262195200.00
2024-06-11 13:11:02,814; 38804; 98828288.00; 4262834176.00
2024-06-11 13:11:02,817; 38804; 99024896.00; 4262195200.00
2024-06-11 13:11:02,821; 38804; 99184640.00; 4262195200.00
2024-06-11 13:11:02,825; 38804; 99610624.00; 4262195200.00
2024-06-11 13:11:02,829; 38804; 99799040.00; 4262195200.00
2024-06-11 13:11:02,834; 38804; 100044800.00; 4262195200.00
2024-06-11 13:11:02,844; 38804; 100421632.00; 4262195200.00
2024-06-11 13:11:02,848; 38804; 101003264.00; 4262195200.00
2024-06-11 13:11:02,853; 38804; 99946496.00; 4262195200.00
2024-06-11 13:11:02,858; 38804; 100093952.00; 4262195200.00
2024-06-11 13:11:02,863; 38804; 100360192.00; 4262195200.00
2024-06-11 13:11:02,872; 38804; 100896768.00; 4262195200.00
2024-06-11 13:11:02,877; 38804; 101466112.00; 4262195200.00
2024-06-11 13:11:02,884; 38804; 101769216.00; 4262195200.00
2024-06-11 13:11:02,888; 38804; 102252544.00; 4262195200.00
2024-06-11 13:11:02,892; 38804; 102518784.00; 4262195200.00
2024-06-11 13:11:02,904; 38804; 103182336.00; 4262195200.00
2024-06-11 13:11:02,913; 38804; 103763968.00; 4262195200.00
2024-06-11 13:11:02,919; 38804; 104296448.00; 4262195200.00
2024-06-11 13:11:02,928; 38804; 109223936.00; 4262195200.00
2024-06-11 13:11:02,940; 38804; 109457408.00; 4262195200.00
2024-06-11 13:11:02,946; 38804; 109613056.00; 4330356736.00
2024-06-11 13:11:02,951; 38804; 109613056.00; 4330356736.00
2024-06-11 13:11:02,957; 38804; 110018560.00; 4330356736.00
2024-06-11 13:11:02,961; 38804; 110309376.00; 4330356736.00
2024-06-11 13:11:02,965; 38804; 110469120.00; 4330356736.00
2024-06-11 13:11:02,973; 38804; 110993408.00; 4330356736.00
2024-06-11 13:11:02,984; 38804; 111284224.00; 4330356736.00
2024-06-11 13:11:02,993; 38804; 111312896.00; 4330356736.00
2024-06-11 13:11:03,002; 38804; 111476736.00; 4330356736.00
2024-06-11 13:11:03,009; 38804; 111517696.00; 4330356736.00
2024-06-11 13:11:03,022; 38804; 111751168.00; 4330356736.00
2024-06-11 13:11:03,027; 38804; 111837184.00; 4330356736.00
2024-06-11 13:11:03,031; 38804; 111837184.00; 4330356736.00
2024-06-11 13:11:03,034; 38804; 112324608.00; 4330356736.00
2024-06-11 13:11:03,038; 38804; 112406528.00; 4330356736.00
2024-06-11 13:11:03,042; 38804; 112459776.00; 4330356736.00
2024-06-11 13:11:03,045; 38804; 112541696.00; 4330356736.00
2024-06-11 13:11:03,049; 38804; 112713728.00; 4330356736.00
2024-06-11 13:11:03,054; 38804; 112824320.00; 4330356736.00
2024-06-11 13:11:03,058; 38804; 113000448.00; 4330356736.00
2024-06-11 13:11:03,062; 38804; 113000448.00; 4330356736.00
2024-06-11 13:11:03,065; 38804; 113000448.00; 4330356736.00
2024-06-11 13:11:03,069; 38804; 113389568.00; 4330356736.00
2024-06-11 13:11:03,073; 38804; 113463296.00; 4330356736.00
2024-06-11 13:11:03,077; 38804; 113659904.00; 4330356736.00
2024-06-11 13:11:03,081; 38804; 113754112.00; 4330356736.00
2024-06-11 13:11:03,084; 38804; 114012160.00; 4330356736.00
2024-06-11 13:11:03,088; 38804; 114442240.00; 4330356736.00
2024-06-11 13:11:03,092; 38804; 114847744.00; 4331118592.00
2024-06-11 13:11:03,095; 38804; 114851840.00; 4330356736.00
2024-06-11 13:11:03,099; 38804; 115187712.00; 4330356736.00
2024-06-11 13:11:03,103; 38804; 115703808.00; 4330356736.00
2024-06-11 13:11:03,107; 38804; 115757056.00; 4330422272.00
2024-06-11 13:11:03,111; 38804; 116117504.00; 4330422272.00
2024-06-11 13:11:03,121; 38804; 117460992.00; 4330422272.00
2024-06-11 13:11:03,135; 38804; 119234560.00; 4330422272.00
2024-06-11 13:11:03,141; 38804; 120139776.00; 4331335680.00
2024-06-11 13:11:03,145; 38804; 119332864.00; 4330422272.00
2024-06-11 13:11:03,155; 38804; 119648256.00; 4330422272.00
2024-06-11 13:11:03,163; 38804; 120692736.00; 4330422272.00
2024-06-11 13:11:03,171; 38804; 121393152.00; 4330422272.00
2024-06-11 13:11:03,177; 38804; 121577472.00; 4330422272.00
2024-06-11 13:11:03,183; 38804; 121655296.00; 4330422272.00
2024-06-11 13:11:03,188; 38804; 121655296.00; 4330422272.00
2024-06-11 13:11:03,192; 38804; 121921536.00; 4330422272.00
2024-06-11 13:11:03,196; 38804; 123002880.00; 4330422272.00
2024-06-11 13:11:03,200; 38804; 123002880.00; 4330422272.00
2024-06-11 13:11:03,205; 38804; 124354560.00; 4330422272.00
2024-06-11 13:11:03,209; 38804; 124354560.00; 4330422272.00
2024-06-11 13:11:03,213; 38804; 127053824.00; 4333535232.00
2024-06-11 13:11:03,224; 38804; 134078464.00; 4333535232.00
2024-06-11 13:11:03,229; 38804; 135835648.00; 4333535232.00
2024-06-11 13:11:03,233; 38804; 134430720.00; 4330422272.00
2024-06-11 13:11:03,237; 38804; 134430720.00; 4330422272.00
2024-06-11 13:11:03,242; 38804; 134971392.00; 4330422272.00
2024-06-11 13:11:03,250; 38804; 141348864.00; 4330422272.00
2024-06-11 13:11:03,256; 38804; 141459456.00; 4398583808.00
2024-06-11 13:11:03,265; 38804; 141729792.00; 4398583808.00
2024-06-11 13:11:03,273; 38804; 142000128.00; 4398583808.00
2024-06-11 13:11:03,281; 38804; 142000128.00; 4398583808.00
2024-06-11 13:11:03,295; 38804; 146890752.00; 4398583808.00
2024-06-11 13:11:03,304; 38804; 146960384.00; 4398583808.00
2024-06-11 13:11:03,310; 38804; 146960384.00; 4398583808.00
2024-06-11 13:11:03,314; 38804; 147058688.00; 4398583808.00
2024-06-11 13:11:03,318; 38804; 147599360.00; 4398583808.00
2024-06-11 13:11:03,322; 38804; 147869696.00; 4398583808.00
2024-06-11 13:11:03,326; 38804; 148140032.00; 4398583808.00
